name,highway,geometry
Katraj - Dehu Road Bypass,trunk,"LINESTRING (73.7798095 18.5319856, 73.7796605 18.5316076, 73.7794928 18.5312068, 73.7788553 18.5296829, 73.7787544 18.529467, 73.7786699 18.5293185, 73.7784391 18.5289563, 73.7781874 18.5286209, 73.7779479 18.5283616, 73.7778062 18.5282247, 73.7777271 18.5281484, 73.7775127 18.5279566, 73.7772422 18.5277452, 73.777025 18.5276002, 73.7767793 18.5274586, 73.7765395 18.5273321, 73.77633 18.5272321, 73.776084 18.5271398, 73.7742386 18.5264506, 73.7738359 18.5262887, 73.7735272 18.5261443, 73.7732274 18.5259752, 73.7729632 18.5257911, 73.7728137 18.5256757, 73.7726953 18.5255786, 73.7724557 18.5253614, 73.7722532 18.525148, 73.77205 18.5249101, 73.7718363 18.5246302, 73.770045 18.5223253, 73.769899 18.5221239, 73.7698063 18.5219794, 73.7697198 18.5218403, 73.7696643 18.5217217, 73.7696099 18.5215898, 73.7695572 18.5214471, 73.7694267 18.5210051, 73.7693156 18.5205875, 73.7692247 18.5202413, 73.7691487 18.5199104, 73.7690833 18.519533, 73.7689924 18.5190122, 73.768947 18.5186201, 73.7689163 18.5182465, 73.7689003 18.5179809, 73.7688897 18.517635, 73.768903 18.5172437, 73.7689284 18.5168926, 73.7689537 18.5165633, 73.7689689 18.5164281, 73.7690002 18.5162479, 73.7690456 18.5160189, 73.7692235 18.5151904, 73.769274 18.5149827, 73.7693484 18.5147306, 73.7694121 18.5145395, 73.7694985 18.5143176, 73.769582 18.5141177, 73.7696921 18.5138951, 73.7698908 18.5135242, 73.7699505 18.5134127, 73.7701603 18.5130602, 73.7704072 18.5126627, 73.7705716 18.5124415, 73.7707446 18.5122245, 73.7709199 18.512023, 73.7710946 18.5118397, 73.771277 18.5116718, 73.7715809 18.5114215, 73.7719201 18.5111679, 73.7733011 18.5100748, 73.7735537 18.5098959, 73.7738275 18.5097194, 73.7741595 18.509528, 73.7744238 18.5094002, 73.7747027 18.5092869, 73.7749473 18.5091961, 73.7752094 18.5091107, 73.7755571 18.5090251, 73.7780734 18.5085164)"
Katraj - Dehu Road Bypass,trunk,"LINESTRING (73.7833729 18.5073887, 73.7835028 18.5073785)"
Katraj - Dehu Road Bypass,trunk,"LINESTRING (73.7875263 18.5074983, 73.7882101 18.5075176, 73.7884811 18.5075227, 73.7887372 18.5075125, 73.7890483 18.5074855, 73.7893321 18.5074443, 73.7896147 18.5073786, 73.7899168 18.5072861, 73.7902127 18.5071754, 73.790503 18.5070352, 73.7907826 18.5068782, 73.7910459 18.5066954, 73.791275 18.5065129, 73.7915017 18.5063057, 73.791704 18.5060841, 73.791866 18.5058776, 73.7920422 18.5056014, 73.7921752 18.505367, 73.792328 18.5050335, 73.7924325 18.5047533, 73.7925111 18.5044895, 73.7925824 18.504168, 73.7926105 18.5040196, 73.7926305 18.5038695, 73.7926459 18.5036901, 73.7926438 18.503451, 73.7926339 18.5032513, 73.7925939 18.5029392, 73.7925529 18.5027585, 73.7925316 18.5026895, 73.7924089 18.5022913)"
Katraj - Dehu Road Bypass,trunk,"LINESTRING (73.7924089 18.5022913, 73.7922503 18.5019332, 73.792079 18.5016416, 73.7918412 18.5012909, 73.7915455 18.5008958, 73.7905445 18.4997273, 73.7903202 18.4994633, 73.7895666 18.498548, 73.7893729 18.4983127)"
"['Shivaji Bridge', 'Shivaji Road']",trunk,"LINESTRING (73.8537138 18.5247342, 73.8542752 18.5234273, 73.8544241 18.5230445, 73.8546064 18.5225817, 73.8549962 18.5217399, 73.8550269 18.521675)"
Shivaji Road,trunk,"LINESTRING (73.8537138 18.5247342, 73.8536806 18.524765, 73.853668 18.5247767, 73.8536403 18.5248221, 73.8536179 18.5248573)"
Nagar Road,trunk,"LINESTRING (73.982545 18.5805221, 73.9827676 18.5804874, 73.9829629 18.580483, 73.9831101 18.5805044)"
"['Katraj - Dehu Road Bypass', 'Westerly Diversion']",trunk,"LINESTRING (73.7732246 18.5480879, 73.7731228 18.5483539, 73.7730725 18.5485003, 73.7719183 18.5517599, 73.7717062 18.5523591, 73.7714871 18.5529776, 73.7704583 18.5559078, 73.7703816 18.5561264, 73.7699716 18.557294, 73.7699344 18.5574001, 73.7692963 18.5592173, 73.7692761 18.5592749)"
Solapur Road,trunk,"LINESTRING (73.9023383 18.5064484, 73.9016633 18.5064724, 73.9012155 18.5064883, 73.9011103 18.506493)"
Satara Road,trunk,"LINESTRING (73.8564773 18.476218, 73.8564183 18.4760832, 73.8563888 18.4759229, 73.8563754 18.4757143, 73.8563646 18.4754815, 73.8563652 18.4752164, 73.8563817 18.474981, 73.85639 18.474584, 73.8564002 18.4744627)"
Satara Road,trunk,"LINESTRING (73.8581035 18.4602723, 73.8580999 18.4599835, 73.8581026 18.4597461, 73.8580894 18.4594665, 73.858086 18.4593958)"
Satara Road,trunk,"LINESTRING (73.8581477 18.4615885, 73.8581054 18.460639, 73.8581037 18.4603156, 73.8581035 18.4602723)"
Satara Road,trunk,"LINESTRING (73.8573316 18.4888788, 73.8573356 18.4891039, 73.8573484 18.4892711)"
